GEOID,district,state,year,age,estimate,moe
101,1,Alabama,2009,20_29,0.191130384,0.007602026
101,1,Alabama,2009,30_44,0.272672209,0.007509854
101,1,Alabama,2009,45_64,0.364655846,0.009068006
101,1,Alabama,2009,65+,0.171541561,0.010516429
101,1,Alabama,2010,20_29,0.181468671,0.007654953
101,1,Alabama,2010,30_44,0.270284982,0.008225002
101,1,Alabama,2010,45_64,0.37417975,0.009343671
101,1,Alabama,2010,65+,0.174066597,0.010920952
101,1,Alabama,2011,20_29,0.180968204,0.008264743
101,1,Alabama,2011,30_44,0.266883387,0.007734952
101,1,Alabama,2011,45_64,0.375791508,0.009544719
101,1,Alabama,2011,65+,0.176356901,0.010341525
101,1,Alabama,2012,20_29,0.181160767,0.007974994
101,1,Alabama,2012,30_44,0.264336403,0.007983442
101,1,Alabama,2012,45_64,0.374896511,0.00902678
101,1,Alabama,2012,65+,0.179606319,0.010724846
101,1,Alabama,2013,20_29,0.181075951,0.006942156
101,1,Alabama,2013,30_44,0.262379274,0.008252154
101,1,Alabama,2013,45_64,0.373420388,0.009858362
101,1,Alabama,2013,65+,0.183124387,0.010784539
101,1,Alabama,2014,20_29,0.180300563,0.0070438
101,1,Alabama,2014,30_44,0.259825065,0.007839335
101,1,Alabama,2014,45_64,0.371009377,0.01001877
101,1,Alabama,2014,65+,0.188864995,0.010230084
101,1,Alabama,2015,20_29,0.18199575,0.008197896
101,1,Alabama,2015,30_44,0.256133066,0.008480441
101,1,Alabama,2015,45_64,0.36785704,0.010400927
101,1,Alabama,2015,65+,0.194014144,0.01212486
101,1,Alabama,2016,20_29,0.182784837,0.008921182
101,1,Alabama,2016,30_44,0.253415932,0.008531717
101,1,Alabama,2016,45_64,0.363569609,0.010012495
101,1,Alabama,2016,65+,0.200229622,0.011890852
101,1,Alabama,2017,20_29,0.181601852,0.007905202
101,1,Alabama,2017,30_44,0.251312828,0.007276013
101,1,Alabama,2017,45_64,0.361541998,0.010494559
101,1,Alabama,2017,65+,0.205543321,0.01242246
101,1,Alabama,2018,20_29,0.181240337,0.008967694
101,1,Alabama,2018,30_44,0.248195647,0.007778143
101,1,Alabama,2018,45_64,0.359272491,0.010926248
101,1,Alabama,2018,65+,0.211291524,0.013541658
101,1,Alabama,2019,20_29,0.179747773,0.008638466
101,1,Alabama,2019,30_44,0.247072077,0.008897222
101,1,Alabama,2019,45_64,0.356314838,0.010561222
101,1,Alabama,2019,65+,0.216865312,0.013224417
101,1,Alabama,2020,20_29,0.178486194,0.008886378
101,1,Alabama,2020,30_44,0.24651104,0.008779694
101,1,Alabama,2020,45_64,0.352337564,0.013778034
101,1,Alabama,2020,65+,0.222665202,0.014915996
102,2,Alabama,2009,20_29,0.203216672,0.010605725
102,2,Alabama,2009,30_44,0.286858989,0.009995133
102,2,Alabama,2009,45_64,0.348409362,0.009105792
102,2,Alabama,2009,65+,0.161514977,0.008973054
102,2,Alabama,2010,20_29,0.193971184,0.008711761
102,2,Alabama,2010,30_44,0.279683114,0.008885302
102,2,Alabama,2010,45_64,0.362306014,0.010720499
102,2,Alabama,2010,65+,0.164039689,0.009930887
102,2,Alabama,2011,20_29,0.19495539,0.009519348
102,2,Alabama,2011,30_44,0.274023998,0.007572502
102,2,Alabama,2011,45_64,0.363643396,0.009931925
102,2,Alabama,2011,65+,0.167377215,0.00936893
102,2,Alabama,2012,20_29,0.194993754,0.008368813
102,2,Alabama,2012,30_44,0.273446672,0.009279647
102,2,Alabama,2012,45_64,0.36182685,0.009626433
102,2,Alabama,2012,65+,0.169732724,0.009467663
