"","st_cd_fips","district","state","year","male","female","20_29","30_44","45_64","65+","white","black","native american","asian","pacific islander","other","mixed","hispanic or latino"
"1","0101","1","Alabama",2020,0.473011767,0.526988233,0.178486194,0.24651104,0.352337564,0.222665202,0.649583764,0.272883161,0.009682535,0.013996772,0.000176377,0.003337164,0.018082838,0.032257387
"2","0102","2","Alabama",2020,0.474621816,0.525378184,0.19447209,0.253211812,0.344179093,0.208137004,0.609700167,0.310398864,0.003595109,0.013128555,0.000172318,0.001758525,0.021162689,0.040083773
"3","0103","3","Alabama",2020,0.477431171,0.522568829,0.204743562,0.242449602,0.349322488,0.203484348,0.66977477,0.25525789,0.002457233,0.019130815,0.00069666,0.002106801,0.019121003,0.031454828
"4","0104","4","Alabama",2020,0.482939805,0.517060195,0.169694222,0.243422689,0.364385837,0.222497252,0.832306149,0.068697283,0.006340527,0.00569484,0.000413007,0.000801291,0.018886336,0.066860567
"5","0105","5","Alabama",2020,0.48338362,0.51661638,0.184907048,0.252749561,0.365279007,0.197064384,0.71967178,0.176535597,0.005474908,0.017172926,0.000790759,0.001683109,0.025933055,0.052737866
"6","0106","6","Alabama",2020,0.474058924,0.525941076,0.166102496,0.276598472,0.359092894,0.198206138,0.747976252,0.161641425,0.00145885,0.016754885,0.000200539,0.002883806,0.01990843,0.049175813
"7","0107","7","Alabama",2020,0.458940727,0.541059273,0.235039013,0.241453549,0.329232334,0.194275104,0.31727263,0.626420285,0.0012155,0.009764767,0.000218941,0.001327235,0.012013064,0.031767578
"8","0200","AL","Alaska",2020,0.523743452,0.476256548,0.225248098,0.280319189,0.33970595,0.154726763,0.596994532,0.030828098,0.140901505,0.062219297,0.013983908,0.004006839,0.079071629,0.071994193
"9","0401","1","Arizona",2020,0.505876599,0.494123401,0.196050648,0.25638681,0.302487017,0.245075525,0.480591763,0.024040528,0.218684782,0.014109197,0.002154313,0.002349807,0.024884646,0.233184965
"10","0402","2","Arizona",2020,0.487428108,0.512571892,0.201468803,0.236708555,0.305163863,0.256658779,0.595084985,0.037087067,0.009450168,0.031204931,0.002240424,0.001777876,0.032416561,0.290737989
