GEOID,district,state,year,race,estimate,moe
101,1,Alabama,2009,white,0.670509898,0.000990354
101,1,Alabama,2009,black,0.276227919,0.001153418
101,1,Alabama,2009,native american,0.009652209,0.000679185
101,1,Alabama,2009,asian,0.013528352,0.000549033
101,1,Alabama,2009,pacific islander,0.000251328,0.000252824
101,1,Alabama,2009,other,0.000881146,0.000330617
101,1,Alabama,2009,mixed,0.009767402,0.001154914
101,1,Alabama,2009,hispanic or latino,0.019181746,0.000191488
102,2,Alabama,2009,white,0.646164361,0.00160953
102,2,Alabama,2009,black,0.307188266,0.00266831
102,2,Alabama,2009,native american,0.004119175,0.000424123
102,2,Alabama,2009,asian,0.007902714,0.000765861
102,2,Alabama,2009,pacific islander,0.000273086,0.000230369
102,2,Alabama,2009,other,0.000736875,0.000231894
102,2,Alabama,2009,mixed,0.011079056,0.000865027
102,2,Alabama,2009,hispanic or latino,0.022536466,0.000631607
103,3,Alabama,2009,white,0.639178376,0.001593628
103,3,Alabama,2009,black,0.319087917,0.00243343
103,3,Alabama,2009,native american,0.002669864,0.000373075
103,3,Alabama,2009,asian,0.009552556,0.00058648
103,3,Alabama,2009,pacific islander,0.000420669,0.000350045
103,3,Alabama,2009,other,0.000549633,0.000357722
103,3,Alabama,2009,mixed,0.01096502,0.000965696
103,3,Alabama,2009,hispanic or latino,0.017575966,0.000580339
104,4,Alabama,2009,white,0.87640361,0.001907228
104,4,Alabama,2009,black,0.050009181,0.001118722
104,4,Alabama,2009,native american,0.004712519,0.000604881
104,4,Alabama,2009,asian,0.00351973,0.000484522
104,4,Alabama,2009,pacific islander,0.000253063,0.000158936
104,4,Alabama,2009,other,0.000384223,0.000222201
104,4,Alabama,2009,mixed,0.011625449,0.000978303
104,4,Alabama,2009,hispanic or latino,0.053092224,0.000462919
105,5,Alabama,2009,white,0.753980401,0.001438222
105,5,Alabama,2009,black,0.173869507,0.001296013
105,5,Alabama,2009,native american,0.00734505,0.000697853
105,5,Alabama,2009,asian,0.013260675,0.000438357
105,5,Alabama,2009,pacific islander,0.0004149,0.000120218
105,5,Alabama,2009,other,0.000552711,0.000228708
105,5,Alabama,2009,mixed,0.018754068,0.001576034
105,5,Alabama,2009,hispanic or latino,0.031822687,0.000397307
106,6,Alabama,2009,white,0.836355691,0.003223631
106,6,Alabama,2009,black,0.109240471,0.002880187
106,6,Alabama,2009,native american,0.001604137,0.000279223
106,6,Alabama,2009,asian,0.014666196,0.000762279
106,6,Alabama,2009,pacific islander,0.000558446,0.000141008
106,6,Alabama,2009,other,0.001073613,0.000439776
106,6,Alabama,2009,mixed,0.008026269,0.000833481
106,6,Alabama,2009,hispanic or latino,0.028475176,0.001704657
107,7,Alabama,2009,white,0.334554033,0.003794524
107,7,Alabama,2009,black,0.624893121,0.003688257
107,7,Alabama,2009,native american,0.002141674,0.000472476
107,7,Alabama,2009,asian,0.006604858,0.000907351
107,7,Alabama,2009,pacific islander,4.74E-05,0.000104631
107,7,Alabama,2009,other,0.001150946,0.000472476
107,7,Alabama,2009,mixed,0.006626111,0.00103814
107,7,Alabama,2009,hispanic or latino,0.023981846,0.002082819
200,AL,Alaska,2009,white,0.656274977,0.00039816
200,AL,Alaska,2009,black,0.035639735,0.001422837
200,AL,Alaska,2009,native american,0.131813005,0.002409455
200,AL,Alaska,2009,asian,0.045748907,0.000988082
200,AL,Alaska,2009,pacific islander,0.00600168,0.000390841
200,AL,Alaska,2009,other,0.00112129,0.000396696
200,AL,Alaska,2009,mixed,0.065343662,0.002345047
200,AL,Alaska,2009,hispanic or latino,0.058056744,0.000412799
401,1,Arizona,2009,white,0.573537625,0.002225897
401,1,Arizona,2009,black,0.013607888,0.00093592
401,1,Arizona,2009,native american,0.201099225,0.001899286
401,1,Arizona,2009,asian,0.007018025,0.000590096
401,1,Arizona,2009,pacific islander,0.001563068,0.000259368
401,1,Arizona,2009,other,0.001674226,0.000484428
401,1,Arizona,2009,mixed,0.016231757,0.001329774
401,1,Arizona,2009,hispanic or latino,0.185268185,0.002246482
402,2,Arizona,2009,white,0.704970344,0.005316858
402,2,Arizona,2009,black,0.030746475,0.002490599
402,2,Arizona,2009,native american,0.018616834,0.001507114
402,2,Arizona,2009,asian,0.0223449,0.001557463
402,2,Arizona,2009,pacific islander,0.001434388,0.000437477
402,2,Arizona,2009,other,0.001982633,0.000680271
402,2,Arizona,2009,mixed,0.017994744,0.00142208
402,2,Arizona,2009,hispanic or latino,0.201909683,0.005086371
403,3,Arizona,2009,white,0.708763397,0.00746743
403,3,Arizona,2009,black,0.030648859,0.00288418
403,3,Arizona,2009,native american,0.014198095,0.001783818
403,3,Arizona,2009,asian,0.029227272,0.002482309
403,3,Arizona,2009,pacific islander,0.001995689,0.000876189
403,3,Arizona,2009,other,0.001682666,0.000553599
403,3,Arizona,2009,mixed,0.012273486,0.001410651
403,3,Arizona,2009,hispanic or latino,0.201210536,0.006566636
404,4,Arizona,2009,white,0.21939107,0.004508127
404,4,Arizona,2009,black,0.073172518,0.003431023
404,4,Arizona,2009,native american,0.022009405,0.002142226
404,4,Arizona,2009,asian,0.013962412,0.00149117
404,4,Arizona,2009,pacific islander,0.001584368,0.000633747
404,4,Arizona,2009,other,0.001805381,0.000619102
404,4,Arizona,2009,mixed,0.009784473,0.001355367
404,4,Arizona,2009,hispanic or latino,0.658290373,0.007935155
405,5,Arizona,2009,white,0.710562469,0.005435433
405,5,Arizona,2009,black,0.031633537,0.002620808
405,5,Arizona,2009,native american,0.025305975,0.002419865
405,5,Arizona,2009,asian,0.043077305,0.00230158
405,5,Arizona,2009,pacific islander,0.001110174,0.000441789
405,5,Arizona,2009,other,0.001670248,0.000618505
405,5,Arizona,2009,mixed,0.014218489,0.001288315
405,5,Arizona,2009,hispanic or latino,0.172421803,0.005311447
406,6,Arizona,2009,white,0.706813326,0.005050222
406,6,Arizona,2009,black,0.026691258,0.00199314
406,6,Arizona,2009,native american,0.008977214,0.001250428
406,6,Arizona,2009,asian,0.030161197,0.001693468
406,6,Arizona,2009,pacific islander,0.001808809,0.000584252
406,6,Arizona,2009,other,0.001627713,0.000472145
406,6,Arizona,2009,mixed,0.018440586,0.001448772
406,6,Arizona,2009,hispanic or latino,0.205479895,0.005308931
407,7,Arizona,2009,white,0.338342657,0.004881515
407,7,Arizona,2009,black,0.035602467,0.003003917
