GEOID,district,state,year,sex,estimate,moe
101,1,Alabama,2009,male,0.472561115,0.016396129
101,1,Alabama,2009,female,0.527438885,0.017375126
101,1,Alabama,2010,male,0.475660699,0.017192555
101,1,Alabama,2010,female,0.524339301,0.017749127
101,1,Alabama,2011,male,0.475750903,0.017072767
101,1,Alabama,2011,female,0.524249097,0.017609127
101,1,Alabama,2012,male,0.475539084,0.01698153
101,1,Alabama,2012,female,0.524460916,0.017264756
101,1,Alabama,2013,male,0.475548519,0.017042332
101,1,Alabama,2013,female,0.524451481,0.017468886
101,1,Alabama,2014,male,0.474703786,0.016677288
101,1,Alabama,2014,female,0.525296214,0.018176061
101,1,Alabama,2015,male,0.47515731,0.018628126
101,1,Alabama,2015,female,0.52484269,0.018690389
101,1,Alabama,2016,male,0.475245005,0.01870386
101,1,Alabama,2016,female,0.524754995,0.018696148
101,1,Alabama,2017,male,0.474825104,0.018089998
101,1,Alabama,2017,female,0.525174896,0.019476528
101,1,Alabama,2018,male,0.473940073,0.019532844
101,1,Alabama,2018,female,0.526059927,0.018771652
101,1,Alabama,2019,male,0.473348006,0.019559368
101,1,Alabama,2019,female,0.526651994,0.01948211
101,1,Alabama,2020,male,0.473011767,0.021928874
101,1,Alabama,2020,female,0.526988233,0.022693291
102,2,Alabama,2009,male,0.476126273,0.018416424
102,2,Alabama,2009,female,0.523873727,0.018780876
102,2,Alabama,2010,male,0.475535484,0.018188495
102,2,Alabama,2010,female,0.524464516,0.018215316
102,2,Alabama,2011,male,0.475859756,0.017317823
102,2,Alabama,2011,female,0.524140244,0.017389402
102,2,Alabama,2012,male,0.477982234,0.017562289
102,2,Alabama,2012,female,0.522017766,0.017230774
102,2,Alabama,2013,male,0.477730695,0.016680712
102,2,Alabama,2013,female,0.522269305,0.017106039
102,2,Alabama,2014,male,0.478142938,0.017273939
102,2,Alabama,2014,female,0.521857062,0.017731265
102,2,Alabama,2015,male,0.47649444,0.017218778
102,2,Alabama,2015,female,0.52350556,0.018265919
102,2,Alabama,2016,male,0.477752557,0.017446473
102,2,Alabama,2016,female,0.522247443,0.01691434
102,2,Alabama,2017,male,0.478180664,0.017533658
102,2,Alabama,2017,female,0.521819336,0.017736007
102,2,Alabama,2018,male,0.477479776,0.0173077
102,2,Alabama,2018,female,0.522520224,0.018241872
102,2,Alabama,2019,male,0.475206571,0.018263056
102,2,Alabama,2019,female,0.524793429,0.018836292
102,2,Alabama,2020,male,0.474621816,0.0195256
102,2,Alabama,2020,female,0.525378184,0.02217161
103,3,Alabama,2009,male,0.471831696,0.019575332
103,3,Alabama,2009,female,0.528168304,0.020523102
103,3,Alabama,2010,male,0.473891928,0.017960227
103,3,Alabama,2010,female,0.526108072,0.020148254
103,3,Alabama,2011,male,0.474061662,0.0196147
103,3,Alabama,2011,female,0.525938338,0.019917895
103,3,Alabama,2012,male,0.478544479,0.018070635
103,3,Alabama,2012,female,0.521455521,0.018586029
103,3,Alabama,2013,male,0.479492558,0.018271214
103,3,Alabama,2013,female,0.520507442,0.018744999
103,3,Alabama,2014,male,0.479466143,0.019130198
103,3,Alabama,2014,female,0.520533857,0.020187803
103,3,Alabama,2015,male,0.480095264,0.018742816
103,3,Alabama,2015,female,0.519904736,0.01851178
103,3,Alabama,2016,male,0.480344175,0.01850545
103,3,Alabama,2016,female,0.519655825,0.018564738
103,3,Alabama,2017,male,0.479682956,0.018745129
103,3,Alabama,2017,female,0.520317044,0.018864876
103,3,Alabama,2018,male,0.47984568,0.018496441
103,3,Alabama,2018,female,0.52015432,0.018521003
103,3,Alabama,2019,male,0.478589487,0.019023219
103,3,Alabama,2019,female,0.521410513,0.020362433
103,3,Alabama,2020,male,0.477431171,0.021448602
103,3,Alabama,2020,female,0.522568829,0.023057994
104,4,Alabama,2009,male,0.480999845,0.017504821
104,4,Alabama,2009,female,0.519000155,0.018891403
104,4,Alabama,2010,male,0.482092545,0.017779012
104,4,Alabama,2010,female,0.517907455,0.019077944
104,4,Alabama,2011,male,0.48347162,0.018388235
104,4,Alabama,2011,female,0.51652838,0.019083104
104,4,Alabama,2012,male,0.480612109,0.017984578
104,4,Alabama,2012,female,0.519387891,0.018711488
104,4,Alabama,2013,male,0.480994647,0.017879635
104,4,Alabama,2013,female,0.519005353,0.019015193
104,4,Alabama,2014,male,0.481788239,0.018654132
104,4,Alabama,2014,female,0.518211761,0.018485423
104,4,Alabama,2015,male,0.481988477,0.018591593
104,4,Alabama,2015,female,0.518011523,0.017664264
104,4,Alabama,2016,male,0.481574876,0.017880163
104,4,Alabama,2016,female,0.518425124,0.018768898
104,4,Alabama,2017,male,0.482115991,0.019097378
104,4,Alabama,2017,female,0.517884009,0.019167719
104,4,Alabama,2018,male,0.48274354,0.019176665
104,4,Alabama,2018,female,0.51725646,0.01935824
104,4,Alabama,2019,male,0.482886352,0.018367196
104,4,Alabama,2019,female,0.517113648,0.019250908
104,4,Alabama,2020,male,0.482939805,0.020916684
104,4,Alabama,2020,female,0.517060195,0.021581228
105,5,Alabama,2009,male,0.479424176,0.015932435
105,5,Alabama,2009,female,0.520575824,0.016739721
105,5,Alabama,2010,male,0.482070963,0.016486985
105,5,Alabama,2010,female,0.517929037,0.016380166
105,5,Alabama,2011,male,0.482111102,0.016602456
105,5,Alabama,2011,female,0.517888898,0.017704575
105,5,Alabama,2012,male,0.484461665,0.016227695
105,5,Alabama,2012,female,0.515538335,0.01656247
105,5,Alabama,2013,male,0.484338046,0.016162894
105,5,Alabama,2013,female,0.515661954,0.016850345
