state,cd_2020,cd_2010,pop,vap,pop_overlap,vap_overlap
AL,1,1,717620,557432,1,1
AL,2,1,873,684,0.001214684745479717,0.0012249152050658482
AL,2,2,680313,529393,0.9465816990281131,0.9480431800517902
AL,2,3,37519,28329,0.05220361622640722,0.050731904743143874
AL,3,3,693517,544745,0.965876900022005,0.9650317812373779
AL,3,4,1445,1166,0.002012484366687186,0.0020656032766207724
AL,3,6,23056,18573,0.03211061561130779,0.032902615486001374
AL,4,4,674218,521298,0.9420676029337175,0.9401819772212854
AL,4,5,41461,33167,0.05793239706628251,0.05981802277871462
AL,5,5,719826,562855,1,1
AL,6,4,4204,3234,0.0058397891897223045,0.0058385146991919235
AL,6,6,653869,503296,0.9082914171490327,0.9086274254930422
AL,6,7,61816,47378,0.085868793661245,0.0855340598077659
AL,7,1,7480,5942,0.010468243994054932,0.010505360527283528
AL,7,2,18975,15221,0.02655547189668347,0.02691048343752652
AL,7,4,21866,16732,0.030601420210428498,0.029581907159627732
AL,7,6,63611,50023,0.08902345838313214,0.08843986025854997
AL,7,7,602610,477698,0.843351405515701,0.8445623886170123
AK,1,1,733391,554003,1,1
AZ,1,4,1205,1087,0.0015355149964383697,0.0016923872157038587
AZ,1,6,597323,490147,0.7611605180228683,0.7631265102259422
AZ,1,7,26512,20210,0.03378387849425233,0.03146563535361084
AZ,1,9,159713,130844,0.20352008848644096,0.20371546720474304
AZ,2,1,518308,393529,0.6362417755081999,0.6113508693436734
AZ,2,4,296332,250175,0.36375822449180006,0.3886491306563265
AZ,3,3,93206,63322,0.11400508831156123,0.10831753894997571
AZ,3,7,682721,486305,0.8350714320661481,0.8318650828948538
AZ,3,9,41633,34969,0.05092347962229072,0.05981737815517041
AZ,4,5,229432,179207,0.2928333482239722,0.28909623850798616
AZ,4,7,17,8,2.1697788101954078e-5,1.2905577952110626e-5
AZ,4,9,554041,440672,0.7071449539879259,0.7108908559140618
AZ,5,4,144173,106624,0.18117102128215698,0.18201931087226692
AZ,5,5,651611,479160,0.818828978717843,0.8179806891277331
AZ,6,1,236765,187391,0.3040137545470771,0.2980923717139067
AZ,6,2,541101,440423,0.694790811983097,0.7006032126801923
AZ,6,3,931,820,0.001195433469825898,0.001304415605901049
AZ,7,1,5647,4292,0.007118536811041737,0.007102115245554146
AZ,7,2,203480,161336,0.2565043156208204,0.2669680487550614
AZ,7,3,576938,433727,0.7272807491922787,0.7177025021221954
AZ,7,7,7216,4972,0.009096398375859249,0.008227333877189005
AZ,8,4,8272,6152,0.010479335869555578,0.009841200268105522
AZ,8,6,188725,143237,0.2390851864098013,0.2291326402475017
AZ,8,7,24868,18469,0.03150388351113493,0.029544396578615226
AZ,8,8,551046,444879,0.6980894721439946,0.7116617903242061
AZ,8,9,16452,12390,0.020842122065513585,0.019819972581571425
AZ,9,3,106489,76322,0.13414517392805045,0.12560624986628355
AZ,9,4,354390,289223,0.44642834648049845,0.47598616919205633
AZ,9,7,47002,33089,0.05920885222855156,0.054455926231302326
AZ,9,8,285953,208995,0.36021762736289953,0.3439516547103578
AR,1,1,689147,529050,0.9157990136995039,0.9136690274748333
AR,1,2,8612,6676,0.011444381396102904,0.01152944793010488
AR,1,3,54750,43313,0.07275660490439317,0.07480152459506181
AR,2,1,24711,20099,0.032829376519509505,0.034492522815965515
AR,2,2,727999,562607,0.9671706234804905,0.9655074771840345
AR,3,3,713443,536011,0.9471919853322872,0.946402244481052
AR,3,4,39776,30356,0.052808014667712844,0.05359775551894796
AR,4,1,2527,2365,0.0033555264604573716,0.0040485414123846
AR,4,2,32780,24337,0.04352756524487243,0.041661459768796615
AR,4,3,70954,54940,0.09421765907213785,0.09404941445936993
AR,4,4,646825,502519,0.8588992492225324,0.8602405843594488
CA,1,1,546579,432517,0.717467580796963,0.732476299184062
CA,1,3,215238,157969,0.28253241920303696,0.26752370081593807
CA,2,2,717065,575932,0.9291150754367871,0.9305931454368891
CA,2,5,54707,42955,0.07088492456321296,0.06940685456311088
CA,3,1,154252,127916,0.20061777769107214,0.21073094227287478
CA,3,3,15269,12260,0.019858626452590438,0.020197327560785554
CA,3,4,443756,344287,0.5771422254303309,0.567184120221874
CA,3,7,123397,96813,0.1604882394636389,0.1594913436494561
CA,3,8,32211,25735,0.04189313096236758,0.042396266295009484
CA,4,3,336455,267776,0.4409696601130554,0.4391102219525594
CA,4,5,426534,342039,0.5590303398869446,0.5608897780474407
CA,5,4,312795,253464,0.4143600300442318,0.42861563696933314
CA,5,10,321778,243173,0.42625982431807674,0.4112132306313466
CA,5,22,120314,94718,0.15938014563769146,0.1601711323993202
CA,6,3,28677,21690,0.03768534178582552,0.037307079056951346
CA,6,6,357976,265801,0.4704274474708887,0.4571811397149251
CA,6,7,374306,293900,0.4918872107432858,0.5055117812281236
CA,7,3,10596,8572,0.014039029987293856,0.014782878625875212
CA,7,6,424906,332269,0.562973582085795,0.5730159003897493
CA,7,7,290502,217573,0.38489678080113626,0.3752164315524437
CA,7,9,28749,21446,0.038090607125774924,0.03698478943193185
CA,8,3,155753,118764,0.20551901954471322,0.20172297825215543
CA,8,5,229219,183304,0.30245879142629434,0.3113454313220597
CA,8,9,25284,19265,0.03336271461974106,0.03272197952264806
CA,8,11,347596,267415,0.4586594744092514,0.45420961090313683
CA,9,9,550766,404069,0.7121479931780597,0.7087611777458929
CA,9,10,222621,166037,0.2878520068219404,0.29123882225410713
CA,10,5,18111,14219,0.024033823316696814,0.02450056344920514
CA,10,9,171635,128738,0.22776463281769407,0.22182667819985732
CA,10,11,420751,333797,0.558348804280465,0.5751610224104599
CA,10,15,143066,103600,0.18985273958514418,0.1785117359404777
CA,11,12,707207,621273,0.9334488693659685,0.9361610755244945
CA,11,14,50421,42366,0.06655113063403148,0.06383892447550552
CA,12,13,757444,620188,1,1
CA,13,9,23192,16766,0.0303834216983641,0.030947682800095248
CA,13,10,229618,163561,0.3008184082241708,0.3019106493180472
CA,13,16,413521,293617,0.5417464179082969,0.541975771246306
CA,13,21,96980,67809,0.12705175216916828,0.12516589663555164
CA,14,13,22637,18267,0.029772207170476364,0.030766820947106737
CA,14,15,646844,505085,0.8507299366073072,0.8507067256839879
CA,14,17,90859,70372,0.11949785622221638,0.11852645336890542
CA,15,12,57820,47961,0.07622618426117816,0.07866353506162067
CA,15,14,640022,514422,0.8437640073194012,0.8437324708298206
CA,15,18,60690,47315,0.08000980841942067,0.07760399410855866
CA,16,14,64134,51971,0.08493815780586358,0.08695964995942407
CA,16,18,544316,430361,0.7208843718504451,0.7200947050506572
CA,16,19,146617,115313,0.19417747034369134,0.19294564498991876
CA,17,17,699754,555235,0.913909498988469,0.9124410861834364
CA,17,18,42098,32964,0.054981839458461926,0.054171131079544334
CA,17,19,23819,20317,0.03110866155306914,0.03338778273701924
CA,18,18,10176,8006,0.013292664607104834,0.01398252097552797
CA,18,19,325677,255642,0.42542404984749227,0.4464800933332402
CA,18,20,429682,308924,0.5612832855454029,0.5395373856912319
CA,19,18,91199,72670,0.12037294905079873,0.11953462589297317
CA,19,19,247170,193818,0.32623802691790393,0.3188105424704042
CA,19,20,321550,265093,0.42441169055893524,0.43605053779889824
CA,19,24,97718,76360,0.1289773334723621,0.1256042938377244
CA,20,4,13976,10986,0.018273652390048863,0.019246839933776575
CA,20,21,64766,46785,0.08468169509830456,0.08196462828160724
CA,20,22,288340,215451,0.3770052182417493,0.3774577562872835
CA,20,23,397735,297573,0.5200394342698973,0.5213307754973326
CA,21,16,335743,234553,0.4445849549049701,0.4421949026165613
CA,21,21,110012,78262,0.14567594874354958,0.1475447232334582
CA,21,22,309428,217614,0.40973909635148037,0.4102603741499805
CA,22,21,443656,307504,0.5680643690876778,0.5671705657983076
CA,22,22,71719,48389,0.0918301758267648,0.08925027482053666
CA,22,23,265621,186279,0.3401054550855574,0.3435791593811558
CA,23,8,656623,487016,0.8523055316144172,0.8455065494223141
CA,23,23,19247,14669,0.024982866221534564,0.025466792822978968
CA,23,25,18052,13474,0.02343174006500452,0.023392158054183557
CA,23,31,76486,60846,0.09927986209904362,0.10563449970052344
CA,24,24,639141,511518,0.8344127826292435,0.8345918393985277
CA,24,26,126836,101378,0.16558721737075657,0.16540816060147234
CA,25,8,6982,5543,0.008949733059021836,0.009536180022709288
CA,25,36,583266,436287,0.747647522544175,0.7505883769741596
CA,25,42,10185,7230,0.013055432713568805,0.012438495681794722
CA,25,51,179702,132200,0.2303473116832343,0.2274369473213364
CA,26,24,3410,2544,0.004481063891298063,0.004317953453004915
CA,26,25,117280,93348,0.15411705958106653,0.15844037693832658
CA,26,26,590822,454236,0.7763962259192094,0.7709787361160144
CA,26,30,2676,2210,0.003516518173933612,0.0037510523314232954
CA,26,33,46792,36830,0.06148913243449237,0.06251188116123076
CA,27,23,88892,66696,0.11715229719560395,0.11673384661967862
CA,27,25,616920,462330,0.8130494891093911,0.8091873471823801
CA,27,29,10662,8523,0.01405163336070208,0.014917275020083977
CA,27,30,42299,33802,0.05574658033430288,0.05916153117785739
CA,28,8,6617,5266,0.008716132287098886,0.008489837506509251
CA,28,27,662686,543951,0.8729120206752928,0.8769570075015598
CA,28,28,51853,40959,0.0683024947080155,0.066034039959953
CA,28,31,38011,30095,0.05006935232959283,0.04851911503197796
CA,29,29,668085,520117,0.8922432789775231,0.8873445363814724
CA,29,30,80685,66033,0.10775672102247687,0.11265546361852768
CA,30,27,6927,5506,0.0090586912172412,0.008403707643771931
CA,30,28,653645,561142,0.8547954700005231,0.8564608272142151
CA,30,29,2082,1707,0.002722707537793587,0.0026053630490226456
CA,30,30,23305,19450,0.030476800753256265,0.029686181197123875
